CitingPaperID,PaperID
4322729859,3016902371
4322762762,398139808
4322766116,3016902371
4322773362,3021447918
4322776060,2892659249
4322776287,3109647619
4323021041,2790866882
4323025974,3032390071
4323026283,3036605699
4323355600,2964332293
4323522141,2952332560
4323980252,2979996516
4323980409,2979996516
4327912650,2781731418
4327943840,3032390071
4328008218,3016902371
4328022837,2793738252
4353060572,2913939165
4353083334,3027153997
4353083896,2972072904
4353100823,2900917686
4360617518,3023523944
4361214100,3016902371
4361214100,3080554943
4361215747,3016902371
4361224626,2897298186
4361287172,2989861179
4361305977,3047429858
4361761075,2886512263
4361989776,3016902371
4362452906,2793738252
4362664182,3106386073
4362671593,2834352034
4362686940,2897298186
4363646461,2950220581
4363648321,2790076745
4363675397,2969496492
4363676934,3106386073
4365137696,2965887611
4365138645,2783218188
4365142098,2952295880
4365142475,3024532045
4365508661,2937000374
4366004125,3016902371
4366068395,3014692697
4366209397,2886512263
4366218544,2886512263
4366543964,2803484323
4366579456,3037021418
4366581723,2804758507
4366598188,3021447918
4366810952,2936802249
3193850514,3095866569
3031201353,3047132168
3128318317,2947676450
4307623934,3032390071
2986891606,2911168426
3039186375,3109607089
3162103682,3095866569
2982023489,2939199174
2997232666,2789461561
3029033354,2951894354
3096022204,2794306468
3128351871,2981916298
3159156720,3016902371
3099392776,3032390071
3199716700,3013430767
3199716700,3016902371
3199716700,3095866569
4285587753,3016258627
4288765559,3047863423
4289135023,3037453696
4289939748,2793738252
4292176374,3032390071
4293217213,3016902371
4293817023,2908779983
4294797990,3021447918
4295681651,3083398598
4296900947,4249127163
4303986219,3016902371
4304693846,3027848310
4308183580,3024486609
4308416045,3095866569
4311318722,3100243261
4318933940,3109607089
4322500356,2889908376
4322506570,3016902371
4322768636,2913939165
4323355568,2937000374
4363678960,2969496492
4366003420,2789326304
4382601943,2972072904
4385755154,2980548847
4386170114,3047860288
4386947420,3011818850
4387267195,3086563583
4387333051,3015622078
4388659682,3100243261
4389155524,2886512263
4390102243,2784547979
4390537496,2924232516
2121270088,2947795823
3135457950,3013430767
3135457950,3016902371
3136840169,3033201346
3136840169,3036381826
3154400336,3033201346
3161096964,3013100313
3163408735,3013844373
3165292665,3016902371
3170870423,2952487143
3178495738,3106386073
3195855248,3036188798
3195855248,3106386073
3210423176,3016902371
4210522355,3016902371
4210808381,2920944394
4213367381,3002055841
4214844842,2805036395
4214860666,3033201346
4220944417,3047863423
4223957262,2908779983
4226169330,4241773720
4280598886,2784547979
4281776982,3027153997
4283707352,3095866569
4283803303,398139808
4307847585,3106386073
4308770999,3096036142
4309446915,3046581048
2999324434,2946038851
3006604457,2790076745
3020300578,2883908923
3031171459,2937648994
3040319520,2902635246
3044113243,2784547979
3090898359,2794998414
3090898359,2910613741
3091305078,2886512263
3091305078,2913939165
3094251143,2913239114
3097601146,3013734081
3111501813,3011818850
3111917411,3016902371
3114906890,3043042346
3119117575,2947247737
3119223550,3016902371
